rsi,macd,sma_short,sma_long,volume,label
50.0,0.0,0.41637780672834085,0.41637780672834085,0.0,0
50.0,0.0,5.3465,5.3465,0.0,0
50.0,0.0,5.0864,5.0864,0.0,0
50.0,0.0,1.8212100000000002,1.8212100000000002,0.0,1
50.0,0.0,1.7748,1.7748,0.0,1
50.0,0.0,0.13178000000000004,0.13178000000000004,0.0,0
50.0,0.0,0.58,0.58,0.0,0
50.0,0.0,0.19595669671628452,0.19595669671628452,0.0,1
50.0,0.0,0.19978,0.19978,0.0,0
50.0,0.0,3.7882307262903217e-06,3.7882307262903217e-06,0.0,1
50.0,0.0,0.22452020962793826,0.22452020962793826,0.0,1
50.0,0.0,1.5020859735133636,1.5020859735133636,0.0,1
50.0,0.0,0.07310360532032471,0.07310360532032471,0.0,1
50.0,0.0,4.7496,4.7496,0.0,1
50.0,0.0,0.07833,0.07833,0.0,1
50.0,0.0,4.7238,4.7238,0.0,1
50.0,0.0,0.2,0.2,0.0,0
50.0,0.0,0.10478,0.10478,0.0,1
50.0,0.0,0.36564,0.36564,0.0,1
50.0,0.0,1.78576,1.78576,0.0,1
50.0,0.0,1.402329995413487,1.402329995413487,0.0,1
50.0,0.0,0.07938721294979398,0.07938721294979398,0.0,1
50.0,0.0,0.07353019950263075,0.07353019950263075,0.0,1
50.0,0.0,0.07989,0.07989,0.0,1
50.0,0.0,1.5028682426822926,1.5028682426822926,0.0,1
50.0,0.0,1.5489,1.5489,0.0,0
50.0,0.0,1.382246832535784,1.382246832535784,0.0,1
50.0,0.0,0.07622108180884277,0.07622108180884277,0.0,1
50.0,0.0,0.3407204951844417,0.3407204951844417,0.0,1
50.0,0.0,0.10671316239995737,0.10671316239995737,0.0,1
50.0,0.0,0.039614,0.039614,0.0,1
50.0,0.0,12.026257817031164,12.026257817031164,0.0,1
50.0,0.0,0.024016040100400947,0.024016040100400947,0.0,1
50.0,0.0,3.455091955057581e-06,3.455091955057581e-06,0.0,1
50.0,0.0,0.09918233578065466,0.09918233578065466,0.0,1
50.0,0.0,0.43509774447443117,0.43509774447443117,0.0,1
50.0,0.0,0.18165,0.18165,0.0,0
50.0,0.0,4.1045,4.1045,0.0,0
50.0,0.0,0.060414,0.060414,0.0,1
50.0,0.0,1.5967,1.5967,0.0,1
50.0,0.0,108.29,108.29,0.0,1
50.0,0.0,0.32343,0.32343,0.0,1
50.0,0.0,0.062291,0.062291,0.0,1
50.0,0.0,0.17585438983970417,0.17585438983970417,0.0,1
50.0,0.0,0.06082671080918695,0.06082671080918695,0.0,1
50.0,0.0,0.18071839672548823,0.18071839672548823,0.0,1
50.0,0.0,1.2833285464643958,1.2833285464643958,0.0,1
50.0,0.0,0.038305447246323086,0.038305447246323086,0.0,1
50.0,0.0,0.01367363996780897,0.01367363996780897,0.0,1
50.0,0.0,0.03734148832234631,0.03734148832234631,0.0,1
50.0,0.0,0.060780952381508095,0.060780952381508095,0.0,1
50.0,0.0,0.06119398496906834,0.06119398496906834,0.0,1
50.0,0.0,0.005992781713674693,0.005992781713674693,0.0,1
50.0,0.0,12.928270089354704,12.928270089354704,0.0,0
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
50.0,0.0,0.002863253585676326,0.002863253585676326,0.0,1
