market,amount,planned_price,profit,timestamp,score
SKY-EUR,169.2713903564724,0.05621913,-9.612414444172998,1759637400.9277017,53.69487165226228
SKY-EUR,169.2713903564724,0.05621913,-9.612414444172998,1759637400.9277017,53.69487165226228
COTI-EUR,234.22244973678696,0.038611980000000004,-9.135143984634166,1759594569.9453657,53.522631517997965
COTI-EUR,234.22244973678696,0.038611980000000004,-9.135143984634166,1759594569.9453657,53.522631517997965
ACT-EUR,313.11687889413315,0.02661912,-8.419086639705451,1759590688.6308458,53.449744571353214
ACT-EUR,313.11687889413315,0.02661912,-8.419086639705451,1759590688.6308458,53.449744571353214
CHZ-EUR,241.5712635227392,0.03770316,-9.2,1759590735.0362983,53.384287364772604
CHZ-EUR,241.5712635227392,0.03770316,-9.2,1759590735.0362983,53.384287364772604
COTI-EUR,239.0443847557101,0.03858921,-9.317711073392823,1759626364.4647777,53.29184507905008
COTI-EUR,239.0443847557101,0.03858921,-9.317711073392823,1759626364.4647777,53.29184507905008
BABY-EUR,211.73715069041276,0.04511529,-9.6490736941128,1759604378.2881126,53.23355479898307
BABY-EUR,211.73715069041276,0.04511529,-9.6490736941128,1759604378.2881126,53.23355479898307
CHILLGUY-EUR,265.22896555253385,0.03500739,-9.378761450903148,1759592481.774862,52.968948893571515
CHILLGUY-EUR,265.22896555253385,0.03500739,-9.378761450903148,1759592481.774862,52.968948893571515
ARPA-EUR,445.5527847049044,0.01786455,-8.04,1759590716.0750117,52.50447215295095
ARPA-EUR,445.5527847049044,0.01786455,-8.04,1759590716.0750117,52.50447215295095
PENGU-EUR,382.315109360223,0.02489256,-9.612931109753447,1759615692.5631158,51.563917796644326
PENGU-EUR,382.315109360223,0.02489256,-9.612931109753447,1759615692.5631158,51.563917796644326
RDNT-EUR,536.636225262686,0.01575189,-8.538418980154598,1759593985.345537,51.09521876721854
RDNT-EUR,536.636225262686,0.01575189,-8.538418980154598,1759593985.345537,51.09521876721854
SKL-EUR,469.07907690430966,0.020508839999999997,-9.717442157149678,1759626093.6758232,50.591767073807226
SKL-EUR,469.07907690430966,0.020508839999999997,-9.717442157149678,1759626093.6758232,50.591767073807226
GALA-EUR,636.8284527963949,0.01327095,-8.536685409735673,1759590668.9663284,50.095030062300374
GALA-EUR,636.8284527963949,0.01327095,-8.536685409735673,1759590668.9663284,50.095030062300374
ALPHA-EUR,665.520045361639,0.01270764,-8.542615302261998,1759590698.9503424,49.80218424412161
ALPHA-EUR,665.520045361639,0.01270764,-8.542615302261998,1759590698.9503424,49.80218424412161
NEIRO-EUR,35244.751715167586,0.0002368971,-8.433716637922451,1759618664.3051167,46.56628336207755
NEIRO-EUR,35244.751715167586,0.0002368971,-8.433716637922451,1759618664.3051167,46.56628336207755
JASMY-EUR,896.6590764061874,0.01065735,-9.652534957512607,1759595406.9163911,46.38087427842552
JASMY-EUR,896.6590764061874,0.01065735,-9.652534957512607,1759595406.9163911,46.38087427842552
DOGS-EUR,87920.5630000964,0.0001026927,-9.12,1759590744.6326156,45.88
DOGS-EUR,87920.5630000964,0.0001026927,-9.12,1759590744.6326156,45.88
SHIB-EUR,893009.2906279286,1.046331e-05,-9.438215192646577,1759609539.2890189,45.56178480735342
SHIB-EUR,893009.2906279286,1.046331e-05,-9.438215192646577,1759609539.2890189,45.56178480735342
BOME-EUR,6627.206088721874,0.001417185,-9.486845516005364,1759625767.2045898,45.51315448399464
BOME-EUR,6627.206088721874,0.001417185,-9.486845516005364,1759625767.2045898,45.51315448399464
DGB-EUR,1409.2286183503663,0.006763878,-9.628131766293373,1759598002.6349907,45.37186823370663
DGB-EUR,1409.2286183503663,0.006763878,-9.628131766293373,1759598002.6349907,45.37186823370663
