market,score,rsi_at_entry,macd_at_entry,sma_short,sma_long,volatility,volume_24h,dca_buys,invested_eur,hold_hours,max_profit_pct,regime_aggressive,regime_defensive,return_pct,label
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.9852,1
SOL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-18.3891,0
OP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.6728,1
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.0507,1
SNX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.0208,1
OP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.7495,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-3.8812,0
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.3138,1
SNX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.5437,1
NEAR-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.7126,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.817,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8843,1
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5092,0
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.4085,1
AVAX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.9318,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.7565,1
ATOM-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-5.7656,0
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8493,1
NEAR-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.123,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.7646,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.2102,1
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.544,0
NEAR-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.8348,0
SOL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.6391,0
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5204,0
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.1516,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.6384,0
AVAX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5603,0
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.6138,0
SOL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.6696,1
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.9852,1
ATOM-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5614,0
NEAR-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.6822,0
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.9646,0
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-5.7989,0
OP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-4.4092,0
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-3.46,0
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5652,0
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.9706,0
NEAR-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.8391,0
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-2.5243,0
ATOM-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-4.0102,0
SOL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.9571,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.3842,1
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.0288,1
AVAX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.5265,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.5274,1
OP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.9228,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.6044,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.4193,1
