market,entry_price,exit_price,profit,label,timestamp,close_timestamp,rsi,macd,sma,volume
SHIB-EUR,6.621597993359783e-06,0.0,0.0,0,1766395984.172076,0,50.0,0.0,6.621597993359783e-06,0.0
DYDX-EUR,0.14713979448766296,0.0,0.0,0,1766395984.172076,0,50.0,0.0,0.14713979448766296,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1766395984.172076,0,50.0,0.0,1.7000964235054212,0.0
LINK-EUR,11.43736029704695,0.0,0.0,0,1766395984.172076,0,50.0,0.0,11.43736029704695,0.0
COTI-EUR,0.01871007475486684,0.0,0.0,0,1766395984.172076,0,50.0,0.0,0.01871007475486684,0.0
PTB-EUR,0.002863253585676326,0.0,0.0,0,1766395984.172076,0,50.0,0.0,0.002863253585676326,0.0
SHIB-EUR,6.60212268629194e-06,0.0,0.0,0,1766398530.171063,0,50.0,0.0,6.60212268629194e-06,0.0
DYDX-EUR,0.14713979448766296,0.0,0.0,0,1766398530.171063,0,50.0,0.0,0.14713979448766296,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1766398530.171063,0,50.0,0.0,1.7000964235054212,0.0
LINK-EUR,11.43736029704695,0.0,0.0,0,1766398530.171063,0,50.0,0.0,11.43736029704695,0.0
COTI-EUR,0.01871007475486684,0.0,0.0,0,1766398530.171063,0,50.0,0.0,0.01871007475486684,0.0
PTB-EUR,0.0028560000000000005,0.0,0.0,0,1766398530.171063,0,50.0,0.0,0.0028560000000000005,0.0
LINK-EUR,12.928270089354704,10.796,-5.5152,0,1766399128.0651045,0,50.0,0.0,12.928270089354704,0.0
SHIB-EUR,6.60212268629194e-06,0.0,0.0,0,1766402444.5301602,0,50.0,0.0,6.60212268629194e-06,0.0
DYDX-EUR,0.14671939505702333,0.0,0.0,0,1766402444.5301602,0,50.0,0.0,0.14671939505702333,0.0
XRP-EUR,1.911263744845251,0.0,0.0,0,1766402444.5301602,0,50.0,0.0,1.911263744845251,0.0
COTI-EUR,0.02065814497977362,0.0,0.0,0,1766402444.5301602,0,50.0,0.0,0.02065814497977362,0.0
PTB-EUR,0.0028560000000000005,0.0,0.0,0,1766402444.5301602,0,50.0,0.0,0.0028560000000000005,0.0
SHIB-EUR,6.60212268629194e-06,0.0,0.0,0,1766407268.8047621,0,50.0,0.0,6.60212268629194e-06,0.0
DYDX-EUR,0.14671939505702333,0.0,0.0,0,1766407268.8047621,0,50.0,0.0,0.14671939505702333,0.0
COTI-EUR,0.02065814497977362,0.0,0.0,0,1766407268.8047621,0,50.0,0.0,0.02065814497977362,0.0
PTB-EUR,0.0028560000000000005,0.0,0.0,0,1766407268.8047621,0,50.0,0.0,0.0028560000000000005,0.0
XRP-EUR,1.911263744845251,0.0,0.0,0,1766407268.8047621,0,50.0,0.0,1.911263744845251,0.0
SHIB-EUR,6.60212268629194e-06,0.0,0.0,0,1766409229.25715,0,50.0,0.0,6.60212268629194e-06,0.0
DYDX-EUR,0.14713979448766296,0.0,0.0,0,1766409229.25715,0,50.0,0.0,0.14713979448766296,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1766409229.25715,0,50.0,0.0,1.7000964235054212,0.0
COTI-EUR,0.01820617939525113,0.0,0.0,0,1766409229.25715,0,50.0,0.0,0.01820617939525113,0.0
PTB-EUR,0.002863253585676326,0.0,0.0,0,1766409229.25715,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029098,1.2287,1,1766452294.2793489,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0030328,7.6467,1,1766459240.4254909,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0031052,11.4244,1,1766460312.8759584,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0030347,7.7458,1,1766460830.6259136,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029802,3.1864,1,1766461491.080469,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029668,4.2029,1,1766462610.208199,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029034,0.8948,1,1766463420.3316312,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029956,5.7056,1,1766466912.4722145,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029988,5.8726,1,1766468460.4364936,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0030022,6.05,1,1766471201.489252,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029333,2.4549,1,1766473783.9838662,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029182,1.667,1,1766475007.1424,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0028984,0.6339,1,1766475803.575278,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029298,2.2723,1,1766479317.7965505,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029016,0.8009,1,1766494897.3074605,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0028971,0.5661,1,1766496302.2946038,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029214,1.834,1,1766497170.968114,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029208,1.8027,1,1766497995.3713539,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0028997,0.7017,1,1766499824.8179655,0,50.0,0.0,0.002863253585676326,0.0
PTB-EUR,0.002863253585676326,0.0029069,1.0774,1,1766501335.3315618,0,50.0,0.0,0.002863253585676326,0.0
SHIB-EUR,6.621597993359783e-06,0.0,0.0,0,1766509819.3928218,0,50.0,0.0,6.621597993359783e-06,0.0
DYDX-EUR,0.14713979448766296,0.0,0.0,0,1766509819.3928218,0,50.0,0.0,0.14713979448766296,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1766509819.3928218,0,50.0,0.0,1.7000964235054212,0.0
COTI-EUR,0.01820617939525113,0.0,0.0,0,1766509819.3928218,0,50.0,0.0,0.01820617939525113,0.0
